,Time,Average Demand,Peak,Off Peak
1,2020-12-25 01:00:00,1218.0,0.0,1218.0
1,2020-07-20 01:00:00,1343.0,0.0,1343.0
1,2020-12-08 01:00:00,1045.0,0.0,1045.0
1,2020-06-22 01:00:00,1024.0,0.0,1024.0
1,2020-04-20 01:00:00,1002.5,0.0,1002.5
1,2020-09-21 01:00:00,1494.5,0.0,1494.5
1,2020-07-19 01:00:00,1218.5,0.0,1218.5
1,2020-05-29 01:00:00,1161.5,0.0,1161.5
1,2020-02-05 01:00:00,1367.5,0.0,1367.5
1,2020-03-27 01:00:00,1101.0,0.0,1101.0
1,2020-01-12 01:00:00,1404.0,0.0,1404.0
1,2020-09-19 01:00:00,1547.0,0.0,1547.0
1,2020-02-25 01:00:00,1342.0,0.0,1342.0
1,2020-10-05 01:00:00,1601.0,0.0,1601.0
1,2020-10-29 01:00:00,1840.0,0.0,1840.0
1,2020-01-26 01:00:00,1408.5,0.0,1408.5
1,2020-12-10 01:00:00,1154.5,0.0,1154.5
1,2020-03-12 01:00:00,1470.0,0.0,1470.0
1,2020-06-24 01:00:00,1009.5,0.0,1009.5
1,2020-05-13 01:00:00,934.0,0.0,934.0
1,2020-11-10 01:00:00,1742.0,0.0,1742.0
1,2020-10-07 01:00:00,2074.5,0.0,2074.5
1,2020-02-12 01:00:00,1400.0,0.0,1400.0
1,2020-07-22 01:00:00,1212.5,0.0,1212.5
1,2020-03-13 01:00:00,1441.0,0.0,1441.0
1,2020-04-22 01:00:00,909.5,0.0,909.5
1,2020-01-25 01:00:00,1346.0,0.0,1346.0
1,2020-02-27 01:00:00,1511.5,0.0,1511.5
1,2020-05-14 01:00:00,1080.0,0.0,1080.0
1,2020-10-20 01:00:00,1811.5,0.0,1811.5
1,2020-12-24 01:00:00,983.0,0.0,983.0
1,2020-05-30 01:00:00,1171.0,0.0,1171.0
1,2020-09-18 01:00:00,1597.5,0.0,1597.5
1,2020-03-29 01:00:00,1097.5,0.0,1097.5
1,2020-05-15 01:00:00,1176.0,0.0,1176.0
1,2020-01-29 01:00:00,1437.0,0.0,1437.0
1,2020-12-17 01:00:00,1187.5,0.0,1187.5
1,2020-12-15 01:00:00,1111.5,0.0,1111.5
1,2020-05-02 01:00:00,1034.5,0.0,1034.5
1,2020-03-06 01:00:00,1392.0,0.0,1392.0
1,2020-11-01 01:00:00,1561.0,0.0,1561.0
1,2020-05-06 01:00:00,1073.0,0.0,1073.0
1,2020-09-06 01:00:00,1650.0,0.0,1650.0
1,2020-03-31 01:00:00,1037.5,0.0,1037.5
1,2020-05-24 01:00:00,998.0,0.0,998.0
1,2020-09-01 01:00:00,1589.5,0.0,1589.5
1,2020-10-24 01:00:00,2107.5,0.0,2107.5
1,2020-02-07 01:00:00,1285.0,0.0,1285.0
1,2020-05-01 01:00:00,1129.0,0.0,1129.0
1,2020-10-03 01:00:00,1674.5,0.0,1674.5
1,2020-07-31 01:00:00,1231.5,0.0,1231.5
1,2020-03-02 01:00:00,1275.0,0.0,1275.0
